n_nodes,model_path,prune (y/n),|Q|,|e|,map/mpe,order_method,iteration,time
10,testing/rand_bn_nodes_10_3.BIFXML,False,3,3,map,min_fill,4,62285000
10,testing/rand_bn_nodes_10_4.BIFXML,False,3,3,map,min_fill,0,100094000
10,testing/rand_bn_nodes_10_4.BIFXML,False,3,3,map,min_fill,1,72202000
10,testing/rand_bn_nodes_10_4.BIFXML,False,3,3,map,min_fill,2,66592000
10,testing/rand_bn_nodes_10_4.BIFXML,False,3,3,map,min_fill,3,75081000
10,testing/rand_bn_nodes_10_4.BIFXML,False,3,3,map,min_fill,4,71948000
10,testing/rand_bn_nodes_10_5.BIFXML,False,3,3,map,min_fill,0,72774000
10,testing/rand_bn_nodes_10_5.BIFXML,False,3,3,map,min_fill,1,57716000
10,testing/rand_bn_nodes_10_5.BIFXML,False,3,3,map,min_fill,2,90378000
10,testing/rand_bn_nodes_10_5.BIFXML,False,3,3,map,min_fill,3,55780000
10,testing/rand_bn_nodes_10_5.BIFXML,False,3,3,map,min_fill,4,71858000
15,testing/rand_bn_nodes_15_1.BIFXML,False,5,5,map,min_fill,0,159430000
15,testing/rand_bn_nodes_15_1.BIFXML,False,5,5,map,min_fill,1,180897000
15,testing/rand_bn_nodes_15_1.BIFXML,False,5,5,map,min_fill,2,164063000
15,testing/rand_bn_nodes_15_1.BIFXML,False,5,5,map,min_fill,3,164615000
15,testing/rand_bn_nodes_15_1.BIFXML,False,5,5,map,min_fill,4,158429000
15,testing/rand_bn_nodes_15_2.BIFXML,False,5,5,map,min_fill,0,124727000
15,testing/rand_bn_nodes_15_2.BIFXML,False,5,5,map,min_fill,1,138008000
15,testing/rand_bn_nodes_15_2.BIFXML,False,5,5,map,min_fill,2,131256000
15,testing/rand_bn_nodes_15_2.BIFXML,False,5,5,map,min_fill,3,138311000
